Date,Sales,Clicks,Views,Click-Through Rate,Product Price,Competitor Price,Daily Cost,Profit,Weekday,Promotion Intensity,inventory
2013/1/1,149,10911,62381,17.49%,95.99,102.17,14009.06,293.45,2,0,3572
2013/1/2,144,11152,38436,29.01%,94.78,98.7,13317.09,331.23,3,0,3423
2013/1/3,129,14505,58867,24.64%,96.41,107.52,12121.22,315.67,4,0,3279
2013/1/4,177,15567,70845,21.97%,98.22,101.55,17074.05,310.89,5,0,3150
2013/1/5,164,13779,105019,13.12%,94.77,104.61,15197.16,345.12,6,0,2973
2013/1/6,125,11548,88019,13.12%,94.82,98.14,11526.72,325.78,0,0,2809
2013/1/7,149,13224,118476,11.16%,98.51,107.75,14343.58,334.41,1,0,2684
2013/1/8,95,17062,62444,27.32%,96.94,107.8,8865.74,343.56,2,0.15,2535
2013/1/9,142,7784,35345,22.02%,94.53,97.63,13091.81,331.45,3,0,2440
2013/1/10,158,13984,57877,24.16%,96.61,97.48,14913.15,351.23,4,0,2298
2013/1/11,147,14173,136125,10.41%,94.66,96.52,13579.35,335.67,5,0,2140
2013/1/12,152,15039,51156,29.40%,94.71,103.32,14056.02,339.9,6,0,1993
2013/1/13,141,12030,45142,26.65%,96.18,108.43,13261.26,300.12,0,0,1841
2013/1/14,129,8334,58497,14.25%,91.93,92.55,11524.41,334.56,1,0,1700
2013/1/15,125,14925,109448,13.64%,92.37,102.54,11237.35,308.9,2,0,1571
2013/1/16,127,11725,85783,13.67%,94.75,99.6,11727.02,306.23,3,0,1446
2013/1/17,123,10999,68381,16.08%,93.91,100.65,11265.26,285.67,4,0,1319
2013/1/18,136,16588,80936,20.50%,96.62,110.08,12851.42,288.9,5,0,1196
2013/1/19,128,13593,72928,18.64%,94.23,98.92,11795.99,265.45,6,0,3441
2013/1/20,125,11783,74460,15.82%,93.28,99.79,11401.1,258.9,0,0,3313
2013/1/21,136,11139,50092,22.24%,99.09,99.29,13200.57,275.67,1,0,3188
2013/1/22,133,10671,83433,12.79%,95.77,96.94,12494.96,242.45,2,0,3052
2013/1/23,130,10485,66181,15.84%,96.41,100.15,12302.07,231.23,3,0,2919
2013/1/24,105,11441,66028,17.33%,93.48,93.87,9569.73,245.67,4,0,2789
2013/1/25,122,11426,59755,19.12%,95.3,104.33,11391.15,235.45,5,0,2684
2013/1/26,145,12386,48187,25.70%,96.67,102.85,13738.25,278.9,6,0,2562
2013/1/27,116,12862,91914,13.99%,94.2,101.95,10645.97,281.23,0,0,2417
2013/1/28,135,11391,56155,20.28%,97.31,99.86,12871.4,265.45,1,0,2301
2013/1/29,125,13949,63844,21.85%,95.41,99.65,11650.58,275.67,2,0,2166
2013/1/30,132,9728,89010,10.93%,96.09,105.66,12381.54,302.34,3,0,2041
2013/1/31,107,13230,59726,22.15%,95.52,109.35,9919.66,300.98,4,0,1909
2013/2/1,168,12547,93561,13.41%,100.49,101.25,16516.15,366.17,5,0,1802
2013/2/2,163,14004,123917,11.30%,96.81,109.74,15439.6,340.43,6,0,1634
2013/2/3,150,14188,48961,28.98%,94.78,102.98,13897.9,319.1,0,0,1471
2013/2/4,109,14190,48409,29.31%,98.59,106.93,10446.02,300.29,1,0,1321
2013/2/5,188,15649,59802,26.17%,94.56,101.66,17426.3,350.98,2,0,1212
2013/2/6,141,12146,75477,16.09%,97.48,98.49,13419.51,325.17,3,0,3405
2013/2/7,145,14125,118166,11.95%,93.19,94.45,13201.91,310.64,4,0,3264
2013/2/8,154,14388,60748,23.68%,94.51,103.03,14231.37,323.17,5,0,3119
2013/2/9,164,17887,95128,18.80%,97.62,102.61,15661.69,347.99,6,0,2965
2013/2/10,131,14469,116303,12.44%,98.75,112.34,12614.45,321.8,0,0,2801
2013/2/11,176,15329,77016,19.90%,97.67,103.63,16833.04,356.88,1,0,2670
2013/2/12,137,17012,159172,10.69%,97.15,99.24,12987.68,321.87,2,0,2494
2013/2/13,129,15047,53383,28.19%,96.83,107.21,12178.34,312.73,3,0,2357
2013/2/14,168,14128,93096,15.18%,94.53,98.69,15547.4,333.64,4,0,2228
2013/2/15,165,15801,67959,23.25%,96.1,103.67,15516.65,339.85,5,0,2060
2013/2/16,158,13462,82923,16.23%,96.67,106.79,14936.18,337.68,6,0,1895
2013/2/17,143,14666,71887,20.40%,99.76,113.23,13927.61,338.07,0,0,1737
2013/2/18,136,16021,76530,20.93%,98.39,110.08,13056.68,324.36,1,0,1594
2013/2/19,128,12218,89201,13.70%,94.22,103.78,11757.99,302.17,2,0,1458
2013/2/20,128,14651,49847,29.39%,98.45,108.49,12282.12,319.48,3,0,1330
2013/2/21,165,15762,61805,25.50%,97.08,110.85,15673.12,345.08,4,0,1202
2013/2/22,171,15605,54202,28.79%,96.55,100.83,16164.55,345.5,5,0,3418
2013/2/23,167,13460,48249,27.90%,99.18,99.2,16206.02,357.04,6,0,3247
2013/2/24,165,14720,67037,21.96%,100.07,104.15,16151.71,359.84,0,0,3080
2013/2/25,168,11520,40509,28.44%,99.92,103.19,16423.62,362.94,1,0,2915
2013/2/26,141,13905,118140,11.77%,96.43,106,13276.07,320.56,2,0,2747
2013/2/27,156,14480,104025,13.92%,97.54,106.81,14875.57,340.67,3,0,2606
2013/2/28,146,12605,115593,10.90%,98.87,107.67,14098.95,336.07,4,0,2450
2013/3/1,182,15189,92017,16.51%,100.2,100.44,17860.18,376.22,5,0,2304
2013/3/2,162,18817,105870,17.77%,97.34,107.98,15426.08,343,6,0,2122
2013/3/3,142,16694,108213,15.43%,97.98,102.73,13585.6,327.56,0,0,1960
2013/3/4,149,17754,66807,26.58%,96.18,105.77,14005.1,325.72,1,0,1818
2013/3/5,182,18280,106681,17.14%,96.05,104.07,17126.53,354.57,2,0,1669
2013/3/6,158,17075,109324,15.62%,100.11,105.26,15464.79,352.59,3,0,1487
2013/3/7,146,17246,82699,20.85%,101.25,103.29,14433.48,349.02,4,0,1329
2013/3/8,159,12716,99200,12.82%,98.44,99.83,15305.73,346.23,5,0,3564
2013/3/9,181,16759,64348,26.04%,100.64,113.19,17835.57,380.27,6,0,3405
2013/3/10,122,16435,143024,11.49%,99.4,113.09,11808.85,317.95,0,0,3224
2013/3/11,172,16316,54866,29.74%,97.43,106.93,16405.1,352.86,1,0,3102
